priority,field,pattern,familyCode,categoryCode
1,description,\bsubarr,SRV,SUB
2,description,\b(tecnico|operador|operacion|ingeniero|personal|staff|jornada|dj\b|interprete[s]? (por|jornada|idioma)|coordinador|productor|asistente|montajista|hora extra|horas extras)\b,SRV,TEC
3,description,\b(transporte|flete|viatico|viaticos|alojamiento|hotel para|traslado|pasaje|alimentacion|estacionamiento|despacho|envio|courier|movilizacion)\b,SRV,LOG
4,productType,^(LABOR)$,SRV,TEC
5,productType,^(MISCCHARGE)$,SRV,OTR
10,description,^\W*(cable|cables|chicote|extension|zapatilla|multipar|powercom|powercon|patch cord|alargador)\b,CAB,_AUTO
11,description,\b(adaptador|conector|transicion|chuco|jack|plug|terminal|splitter y|coupler|gender|union)\b,CAB,ADP
20,description,\b(cabina)\b,TRA,CAB
21,description,\b(pupitre|consola de interpret|unidad de interpret)\b,TRA,PUP
22,description,\b(receptor(es)? (de )?(traduccion|infrarroj|ir\b)|audifono|audifonos|receptor digital infra|receptor ir)\b,TRA,RCP
23,description,\b(radiador|transmisor (infrarroj|ir|de traduccion|digital)|emisor infrarroj)\b,TRA,TRM
24,description,\b(debate|votacion|delegado|presidente|mic(rofono)? de conferencia|unidad de control .*debate|conference)\b,TRA,DEB
25,description,\b(traduccion|interpretacion simultanea|idioma)\b,TRA,ACC
30,description,\b(sala|salon|ballroom|foyer|terraza|auditorio|paquete|av basico|av completo|av diamond|av sala|sonido .*sala)\b,PAQ,SAL
31,description,\b(sistema de (audio|sonido|sonorizacion|proyeccion|video)|kit\b|combo|pack\b|set de)\b,PAQ,KIT
40,description,\b(receptor)\b.*\b(mic|microfono|inalambric|qlxd|ulxd|slx|blx|sennheiser|shure)|\b(qlxd4|ulxd4|slx4|blx4|ew ?100|ew ?300) ?(r|receptor)?\b,AUD,REC
41,description,\b(microfono|mic\b|lavalier|solapa|headset|vincha|capsula|condensador|shotgun|pg ?58|sm ?58|beta ?58)\b,AUD,MIC
42,description,\b(caja directa|direct box|di box)\b,AUD,DIR
43,description,\b(consola|mixer|mezclador|power mixer|mesa de sonido)\b,AUD,CON
44,description,\b(amplificador|amplificacion|potencia (de audio)?)\b,AUD,AMP
45,description,\b(parlante|altavoz|altavoces|bafle|monitor de piso|line ?array|sub ?bajo|subwoofer|bajo activo|columna|caja acustica|array|l1\b|bose|cabezal)\b,AUD,ALT
46,description,\b(procesador de audio|ecualizador|interfaz de audio|interface de audio|crossover|compresor|dsp|tarjeta de sonido|driverack)\b,AUD,PRO
47,description,\b(intercomunicador|intercom|clear ?com|radio|walkie|beltpack)\b,AUD,INT
48,description,\b(reproductor (de )?(cd|audio|mp3)|grabador|grabacion|registro de audio|cd player|tornamesa|controlador dj)\b,AUD,REP
99,description,\b(sonido|audio)\b,AUD,SIS
